t(c)	theta_c(grad)
10.620	83.827
10.630	83.827
10.640	83.827
10.650	83.828
10.660	83.828
10.670	83.828
10.680	83.828
10.690	83.828
10.700	83.829
10.710	83.829
10.720	83.829
10.730	83.829
10.740	83.829
10.750	83.830
10.760	83.830
10.770	83.830
10.780	83.830
10.790	83.830
10.800	83.831
10.810	83.831
10.820	83.831
10.830	83.831
10.840	83.831
10.850	83.832
10.860	83.832
10.870	83.832
10.880	83.832
10.890	83.832
10.900	83.832
10.910	83.833
10.920	83.833
10.930	83.833
10.940	83.833
10.950	83.833
10.960	83.834
10.970	83.834
10.980	83.834
10.990	83.834
11.000	83.834
11.010	83.835
11.020	83.835
11.030	83.835
11.040	83.835
11.050	83.835
11.060	83.836
11.070	83.836
11.080	83.836
11.090	83.836
11.100	83.836
11.110	83.837
11.120	83.837
11.130	83.837
11.140	83.837
11.150	83.837
11.160	83.838
11.170	83.838
11.180	83.838
11.190	83.838
11.200	83.838
11.210	83.839
11.220	83.839
11.230	83.839
11.240	83.839
11.250	83.839
11.260	83.840
11.270	83.840
11.280	83.840
11.290	83.840
11.300	83.840
11.310	83.841
11.320	83.841
11.330	83.841
11.340	83.841
11.350	83.841
11.360	83.842
11.370	83.842
11.380	83.842
11.390	83.842
11.400	83.842
11.410	83.843
11.420	83.843
11.430	83.843
11.440	83.843
11.450	83.843
11.460	83.844
11.470	83.844
11.480	83.844
11.490	83.844
11.500	83.844
11.510	83.845
11.520	83.845
11.530	83.845
11.540	83.845
11.550	83.845
11.560	83.846
11.570	83.846
11.580	83.846
11.590	83.846
11.600	83.846
11.610	83.847
11.620	83.847
11.630	83.847
11.640	83.847
11.650	83.847
11.660	83.848
11.670	83.848
11.680	83.848
11.690	83.848
11.700	83.848
11.710	83.849
11.720	83.849
11.730	83.849
11.740	83.849
11.750	83.849
11.760	83.850
11.770	83.850
11.780	83.850
11.790	83.850
11.800	83.850
11.810	83.851
11.820	83.851
11.830	83.851
11.840	83.851
11.850	83.851
11.860	83.852
11.870	83.852
11.880	83.852
11.890	83.852
11.900	83.852
11.910	83.853
11.920	83.853
11.930	83.853
11.940	83.853
11.950	83.853
11.960	83.854
11.970	83.854
11.980	83.854
11.990	83.854
12.000	83.854
12.010	83.855
12.020	83.855
12.030	83.855
12.040	83.855
12.050	83.855
12.060	83.856
12.070	83.856
12.080	83.856
12.090	83.856
12.100	83.856
12.110	83.857
12.120	83.857
12.130	83.857
12.140	83.857
12.150	83.857
12.160	83.858
12.170	83.858
12.180	83.858
12.190	83.858
12.200	83.858
12.210	83.859
12.220	83.859
12.230	83.859
12.240	83.859
12.250	83.859
12.260	83.860
12.270	83.860
12.280	83.860
12.290	83.860
12.300	83.861
12.310	83.861
12.320	83.861
12.330	83.861
12.340	83.861
12.350	83.862
12.360	83.862
12.370	83.862
12.380	83.862
12.390	83.862
12.400	83.863
12.410	83.863
12.420	83.863
12.430	83.863
12.440	83.863
12.450	83.864
12.460	83.864
12.470	83.864
12.480	83.864
12.490	83.864
12.500	83.865
12.510	83.865
12.520	83.865
12.530	83.865
12.540	83.865
12.550	83.866
12.560	83.866
12.570	83.866
12.580	83.866
12.590	83.866
12.600	83.867
12.610	83.867
12.620	83.867
12.630	83.867
12.640	83.868
12.650	83.868
12.660	83.868
12.670	83.868
12.680	83.868
12.690	83.869
12.700	83.869
12.710	83.869
12.720	83.869
12.730	83.869
12.740	83.870
12.750	83.870
12.760	83.870
12.770	83.870
12.780	83.870
12.790	83.871
12.800	83.871
