t(c)	V(m/s)
1.015	45.742
1.016	45.778
1.017	45.814
1.018	45.849
1.019	45.885
1.020	45.920
1.021	45.956
1.022	45.991
1.023	46.027
1.024	46.062
1.025	46.098
1.026	46.134
1.027	46.169
1.028	46.205
1.029	46.240
1.030	46.276
1.031	46.311
1.032	46.347
1.033	46.383
1.034	46.418
1.035	46.454
1.036	46.489
1.037	46.525
1.038	46.561
1.039	46.596
1.040	46.632
1.041	46.667
1.042	46.703
1.043	46.738
1.044	46.774
1.045	46.810
1.046	46.845
1.047	46.881
1.048	46.916
1.049	46.952
1.050	46.988
1.051	47.023
1.052	47.059
1.053	47.094
1.054	47.130
1.055	47.165
1.056	47.201
1.057	47.237
1.058	47.272
1.059	47.308
1.060	47.343
1.061	47.379
1.062	47.415
1.063	47.450
1.064	47.486
1.065	47.521
1.066	47.557
1.067	47.593
1.068	47.628
1.069	47.664
1.070	47.699
1.071	47.735
1.072	47.771
1.073	47.806
1.074	47.842
1.075	47.877
1.076	47.913
1.077	47.949
1.078	47.984
1.079	48.020
1.080	48.055
1.081	48.091
1.082	48.127
1.083	48.162
1.084	48.198
1.085	48.233
1.086	48.269
1.087	48.305
1.088	48.340
1.089	48.376
1.090	48.412
1.091	48.447
1.092	48.483
1.093	48.518
1.094	48.554
1.095	48.590
1.096	48.625
1.097	48.661
1.098	48.696
1.099	48.732
1.100	48.768
1.101	48.803
1.102	48.839
1.103	48.875
1.104	48.910
1.105	48.946
1.106	48.981
1.107	49.017
1.108	49.053
1.109	49.088
1.110	49.124
1.111	49.160
1.112	49.195
1.113	49.231
1.114	49.266
1.115	49.302
1.116	49.338
1.117	49.373
1.118	49.409
1.119	49.445
1.120	49.480
1.121	49.516
1.122	49.551
1.123	49.587
1.124	49.623
1.125	49.658
1.126	49.694
1.127	49.730
1.128	49.765
1.129	49.801
1.130	49.837
1.131	49.872
1.132	49.908
1.133	49.943
1.134	49.979
1.135	50.015
1.136	50.050
1.137	50.086
1.138	50.122
1.139	50.157
1.140	50.193
1.141	50.229
1.142	50.264
1.143	50.300
1.144	50.336
1.145	50.371
1.146	50.407
1.147	50.442
1.148	50.478
1.149	50.514
1.150	50.549
1.151	50.585
1.152	50.621
1.153	50.656
1.154	50.692
1.155	50.728
1.156	50.763
1.157	50.799
1.158	50.835
1.159	50.870
1.160	50.906
1.161	50.942
1.162	50.977
1.163	51.013
1.164	51.049
1.165	51.084
1.166	51.120
1.167	51.156
1.168	51.191
1.169	51.227
1.170	51.263
1.171	51.298
1.172	51.334
1.173	51.370
1.174	51.405
1.175	51.441
1.176	51.477
1.177	51.512
1.178	51.548
1.179	51.584
1.180	51.619
1.181	51.655
1.182	51.691
1.183	51.726
1.184	51.762
1.185	51.798
1.186	51.833
1.187	51.869
1.188	51.905
1.189	51.940
1.190	51.976
1.191	52.012
1.192	52.047
1.193	52.083
1.194	52.119
1.195	52.154
1.196	52.190
1.197	52.226
1.198	52.261
1.199	52.297
1.200	52.333
1.201	52.369
1.202	52.404
1.203	52.440
1.204	52.476
1.205	52.511
1.206	52.547
1.207	52.583
1.208	52.618
1.209	52.654
1.210	52.690
1.211	52.725
1.212	52.761
1.213	52.797
1.214	52.832
1.215	52.868
1.216	52.904
1.217	52.940
1.218	52.975
1.219	53.011
1.220	53.047
1.221	53.082
1.222	53.118
1.223	53.154
1.224	53.189
1.225	53.225
1.226	53.261
1.227	53.297
1.228	53.332
1.229	53.368
1.230	53.404
1.231	53.439
1.232	53.475
1.233	53.511
1.234	53.546
1.235	53.582
1.236	53.618
1.237	53.654
1.238	53.689
1.239	53.725
1.240	53.761
1.241	53.796
1.242	53.832
1.243	53.868
1.244	53.904
1.245	53.939
1.246	53.975
1.247	54.011
1.248	54.046
1.249	54.082
1.250	54.118
1.251	54.154
1.252	54.189
1.253	54.225
1.254	54.261
1.255	54.296
1.256	54.332
1.257	54.368
1.258	54.404
1.259	54.439
1.260	54.475
1.261	54.511
1.262	54.547
1.263	54.582
1.264	54.618
1.265	54.654
1.266	54.689
1.267	54.725
1.268	54.761
1.269	54.797
1.270	54.832
1.271	54.868
1.272	54.904
1.273	54.940
1.274	54.975
1.275	55.011
1.276	55.047
1.277	55.082
1.278	55.118
1.279	55.154
1.280	55.190
1.281	55.225
1.282	55.261
1.283	55.297
1.284	55.333
1.285	55.368
1.286	55.404
1.287	55.440
1.288	55.476
1.289	55.511
1.290	55.547
1.291	55.583
1.292	55.619
1.293	55.654
1.294	55.690
1.295	55.726
1.296	55.761
1.297	55.797
1.298	55.833
1.299	55.869
1.300	55.904
1.301	55.940
1.302	55.976
1.303	56.012
1.304	56.047
1.305	56.083
1.306	56.119
1.307	56.155
1.308	56.190
1.309	56.226
1.310	56.262
1.311	56.298
1.312	56.334
1.313	56.369
1.314	56.405
1.315	56.441
1.316	56.477
1.317	56.512
1.318	56.548
1.319	56.584
1.320	56.620
1.321	56.655
1.322	56.691
1.323	56.727
1.324	56.763
1.325	56.798
1.326	56.834
1.327	56.870
1.328	56.906
1.329	56.941
1.330	56.977
1.331	57.013
1.332	57.049
1.333	57.085
1.334	57.120
1.335	57.156
1.336	57.192
1.337	57.228
1.338	57.263
1.339	57.299
1.340	57.335
1.341	57.371
1.342	57.406
1.343	57.442
1.344	57.478
1.345	57.514
1.346	57.550
1.347	57.585
1.348	57.621
1.349	57.657
1.350	57.693
1.351	57.728
1.352	57.764
1.353	57.800
1.354	57.836
1.355	57.872
1.356	57.907
1.357	57.943
1.358	57.979
1.359	58.015
1.360	58.051
1.361	58.086
1.362	58.122
1.363	58.158
1.364	58.194
1.365	58.229
1.366	58.265
1.367	58.301
1.368	58.337
1.369	58.373
1.370	58.408
1.371	58.444
1.372	58.480
1.373	58.516
1.374	58.552
1.375	58.587
1.376	58.623
1.377	58.659
1.378	58.695
1.379	58.731
1.380	58.766
1.381	58.802
1.382	58.838
1.383	58.874
1.384	58.910
1.385	58.945
1.386	58.981
1.387	59.017
1.388	59.053
1.389	59.089
1.390	59.124
1.391	59.160
1.392	59.196
1.393	59.232
1.394	59.268
1.395	59.303
1.396	59.339
1.397	59.375
1.398	59.411
1.399	59.447
1.400	59.482
1.401	59.518
1.402	59.554
1.403	59.590
1.404	59.626
1.405	59.662
1.406	59.697
1.407	59.733
1.408	59.769
1.409	59.805
1.410	59.841
1.411	59.876
1.412	59.912
1.413	59.948
1.414	59.984
1.415	60.020
1.416	60.056
1.417	60.091
1.418	60.127
1.419	60.163
1.420	60.199
1.421	60.235
1.422	60.270
1.423	60.306
1.424	60.342
1.425	60.378
1.426	60.414
1.427	60.450
1.428	60.485
1.429	60.521
1.430	60.557
1.431	60.593
1.432	60.629
1.433	60.665
1.434	60.700
1.435	60.736
1.436	60.772
1.437	60.808
1.438	60.844
1.439	60.880
1.440	60.915
1.441	60.951
1.442	60.987
1.443	61.023
1.444	61.059
1.445	61.095
1.446	61.130
1.447	61.166
1.448	61.202
1.449	61.238
1.450	61.274
1.451	61.310
1.452	61.346
1.453	61.381
1.454	61.417
1.455	61.453
1.456	61.489
1.457	61.525
1.458	61.561
1.459	61.596
1.460	61.632
1.461	61.668
1.462	61.704
1.463	61.740
1.464	61.776
1.465	61.812
1.466	61.847
1.467	61.883
1.468	61.919
1.469	61.955
1.470	61.991
1.471	62.027
1.472	62.063
1.473	62.098
1.474	62.134
1.475	62.170
1.476	62.206
1.477	62.242
1.478	62.278
1.479	62.314
1.480	62.349
1.481	62.385
1.482	62.421
1.483	62.457
1.484	62.493
1.485	62.529
1.486	62.565
1.487	62.600
1.488	62.636
1.489	62.672
1.490	62.708
1.491	62.744
1.492	62.780
1.493	62.816
1.494	62.852
1.495	62.887
1.496	62.923
