t(c)	x(m)
0.790	2.13
0.791	2.14
0.792	2.14
0.793	2.15
0.794	2.15
0.795	2.16
0.796	2.16
0.797	2.17
0.798	2.17
0.799	2.18
0.800	2.18
0.801	2.19
0.802	2.19
0.803	2.20
0.804	2.20
0.805	2.20
0.806	2.21
0.807	2.21
0.808	2.22
0.809	2.22
0.810	2.23
0.811	2.23
0.812	2.24
0.813	2.24
0.814	2.25
0.815	2.25
0.816	2.26
0.817	2.26
0.818	2.27
0.819	2.27
0.820	2.28
0.821	2.28
0.822	2.29
0.823	2.29
0.824	2.30
0.825	2.30
0.826	2.31
0.827	2.31
0.828	2.32
0.829	2.32
0.830	2.33
0.831	2.33
0.832	2.34
0.833	2.34
0.834	2.35
0.835	2.35
0.836	2.36
0.837	2.36
0.838	2.37
0.839	2.37
0.840	2.38
0.841	2.38
0.842	2.39
0.843	2.39
0.844	2.40
0.845	2.40
0.846	2.41
0.847	2.41
0.848	2.42
0.849	2.42
0.850	2.43
0.851	2.43
0.852	2.44
0.853	2.44
0.854	2.45
0.855	2.45
0.856	2.46
0.857	2.46
0.858	2.47
0.859	2.47
0.860	2.48
0.861	2.49
0.862	2.49
0.863	2.50
0.864	2.50
0.865	2.51
0.866	2.51
0.867	2.52
0.868	2.52
0.869	2.53
0.870	2.53
0.871	2.54
0.872	2.54
0.873	2.55
0.874	2.55
0.875	2.56
0.876	2.56
0.877	2.57
0.878	2.57
0.879	2.58
0.880	2.58
0.881	2.59
0.882	2.59
0.883	2.60
0.884	2.61
0.885	2.61
0.886	2.62
0.887	2.62
0.888	2.63
0.889	2.63
0.890	2.64
0.891	2.64
0.892	2.65
0.893	2.65
0.894	2.66
0.895	2.66
0.896	2.67
0.897	2.67
0.898	2.68
0.899	2.69
0.900	2.69
0.901	2.70
0.902	2.70
0.903	2.71
0.904	2.71
0.905	2.72
0.906	2.72
0.907	2.73
0.908	2.73
0.909	2.74
0.910	2.75
0.911	2.75
0.912	2.76
0.913	2.76
0.914	2.77
0.915	2.77
0.916	2.78
0.917	2.78
0.918	2.79
0.919	2.79
0.920	2.80
0.921	2.81
0.922	2.81
0.923	2.82
0.924	2.82
0.925	2.83
0.926	2.83
0.927	2.84
0.928	2.84
0.929	2.85
0.930	2.86
0.931	2.86
0.932	2.87
0.933	2.87
0.934	2.88
0.935	2.88
0.936	2.89
0.937	2.89
0.938	2.90
0.939	2.91
0.940	2.91
0.941	2.92
0.942	2.92
0.943	2.93
0.944	2.93
0.945	2.94
0.946	2.95
0.947	2.95
0.948	2.96
0.949	2.96
0.950	2.97
0.951	2.97
0.952	2.98
0.953	2.99
0.954	2.99
0.955	3.00
0.956	3.00
0.957	3.01
0.958	3.01
0.959	3.02
0.960	3.03
0.961	3.03
0.962	3.04
0.963	3.04
0.964	3.05
0.965	3.05
0.966	3.06
0.967	3.07
0.968	3.07
0.969	3.08
0.970	3.08
0.971	3.09
0.972	3.09
0.973	3.10
0.974	3.11
0.975	3.11
0.976	3.12
0.977	3.12
0.978	3.13
0.979	3.14
0.980	3.14
0.981	3.15
0.982	3.15
0.983	3.16
0.984	3.16
0.985	3.17
0.986	3.18
0.987	3.18
0.988	3.19
0.989	3.19
0.990	3.20
0.991	3.21
0.992	3.21
0.993	3.22
0.994	3.22
0.995	3.23
0.996	3.24
0.997	3.24
0.998	3.25
0.999	3.25
1.000	3.26
1.001	3.27
1.002	3.27
1.003	3.28
1.004	3.28
1.005	3.29
1.006	3.30
1.007	3.30
1.008	3.31
1.009	3.31
1.010	3.32
1.011	3.33
1.012	3.33
1.013	3.34
1.014	3.34
1.015	3.35
1.016	3.36
1.017	3.36
1.018	3.37
1.019	3.37
1.020	3.38
1.021	3.39
1.022	3.39
1.023	3.40
1.024	3.41
1.025	3.41
1.026	3.42
1.027	3.42
1.028	3.43
1.029	3.44
1.030	3.44
1.031	3.45
1.032	3.45
1.033	3.46
1.034	3.47
1.035	3.47
1.036	3.48
1.037	3.49
1.038	3.49
1.039	3.50
1.040	3.50
1.041	3.51
1.042	3.52
1.043	3.52
1.044	3.53
1.045	3.54
1.046	3.54
1.047	3.55
1.048	3.55
1.049	3.56
1.050	3.57
1.051	3.57
1.052	3.58
1.053	3.59
1.054	3.59
1.055	3.60
1.056	3.60
1.057	3.61
1.058	3.62
1.059	3.62
1.060	3.63
1.061	3.64
1.062	3.64
1.063	3.65
1.064	3.66
1.065	3.66
1.066	3.67
1.067	3.67
1.068	3.68
1.069	3.69
1.070	3.69
1.071	3.70
1.072	3.71
1.073	3.71
1.074	3.72
1.075	3.73
1.076	3.73
1.077	3.74
1.078	3.75
1.079	3.75
1.080	3.76
1.081	3.76
1.082	3.77
1.083	3.78
1.084	3.78
1.085	3.79
1.086	3.80
1.087	3.80
1.088	3.81
1.089	3.82
1.090	3.82
1.091	3.83
1.092	3.84
1.093	3.84
1.094	3.85
1.095	3.86
1.096	3.86
1.097	3.87
1.098	3.88
1.099	3.88
1.100	3.89
1.101	3.90
1.102	3.90
1.103	3.91
1.104	3.92
1.105	3.92
1.106	3.93
1.107	3.94
1.108	3.94
1.109	3.95
1.110	3.96
1.111	3.96
1.112	3.97
1.113	3.98
1.114	3.98
1.115	3.99
1.116	4.00
1.117	4.00
1.118	4.01
1.119	4.02
1.120	4.02
1.121	4.03
1.122	4.04
1.123	4.04
1.124	4.05
1.125	4.06
1.126	4.06
1.127	4.07
1.128	4.08
1.129	4.08
1.130	4.09
1.131	4.10
1.132	4.10
1.133	4.11
1.134	4.12
1.135	4.12
1.136	4.13
1.137	4.14
1.138	4.14
1.139	4.15
1.140	4.16
1.141	4.16
1.142	4.17
1.143	4.18
1.144	4.19
1.145	4.19
1.146	4.20
1.147	4.21
1.148	4.21
1.149	4.22
1.150	4.23
1.151	4.23
1.152	4.24
1.153	4.25
1.154	4.25
1.155	4.26
1.156	4.27
1.157	4.27
1.158	4.28
1.159	4.29
1.160	4.30
1.161	4.30
1.162	4.31
1.163	4.32
1.164	4.32
1.165	4.33
1.166	4.34
1.167	4.34
1.168	4.35
1.169	4.36
1.170	4.37
1.171	4.37
1.172	4.38
1.173	4.39
1.174	4.39
1.175	4.40
1.176	4.41
1.177	4.42
1.178	4.42
1.179	4.43
1.180	4.44
1.181	4.44
1.182	4.45
1.183	4.46
1.184	4.46
1.185	4.47
1.186	4.48
1.187	4.49
1.188	4.49
1.189	4.50
1.190	4.51
1.191	4.51
1.192	4.52
1.193	4.53
1.194	4.54
1.195	4.54
1.196	4.55
1.197	4.56
1.198	4.56
1.199	4.57
1.200	4.58
1.201	4.59
1.202	4.59
1.203	4.60
1.204	4.61
1.205	4.62
1.206	4.62
1.207	4.63
1.208	4.64
1.209	4.64
1.210	4.65
1.211	4.66
1.212	4.67
1.213	4.67
1.214	4.68
1.215	4.69
1.216	4.70
1.217	4.70
1.218	4.71
