x(m)	theta_c(grad)
502.14	83.941
502.71	83.942
503.29	83.942
503.87	83.942
504.44	83.942
505.02	83.943
505.60	83.943
506.18	83.943
506.76	83.943
507.33	83.943
507.91	83.944
508.49	83.944
509.07	83.944
509.65	83.944
510.23	83.944
510.81	83.945
511.39	83.945
511.97	83.945
512.56	83.945
513.14	83.946
513.72	83.946
514.30	83.946
514.88	83.946
515.47	83.946
516.05	83.947
516.63	83.947
517.22	83.947
517.80	83.947
518.38	83.948
518.97	83.948
519.55	83.948
520.14	83.948
520.72	83.948
521.31	83.949
521.90	83.949
522.48	83.949
523.07	83.949
523.66	83.949
524.24	83.950
524.83	83.950
525.42	83.950
526.01	83.950
526.60	83.951
527.18	83.951
527.77	83.951
528.36	83.951
528.95	83.951
529.54	83.952
530.13	83.952
530.72	83.952
531.31	83.952
531.90	83.952
532.50	83.953
533.09	83.953
533.68	83.953
534.27	83.953
534.86	83.954
535.46	83.954
536.05	83.954
536.64	83.954
537.24	83.954
537.83	83.955
538.43	83.955
539.02	83.955
539.62	83.955
540.21	83.955
540.81	83.956
541.40	83.956
542.00	83.956
542.59	83.956
543.19	83.957
543.79	83.957
544.39	83.957
544.98	83.957
545.58	83.957
546.18	83.958
546.78	83.958
547.38	83.958
547.98	83.958
548.58	83.959
549.17	83.959
549.77	83.959
550.38	83.959
550.98	83.959
551.58	83.960
552.18	83.960
552.78	83.960
553.38	83.960
553.98	83.960
554.59	83.961
555.19	83.961
555.79	83.961
556.39	83.961
557.00	83.962
557.60	83.962
558.21	83.962
558.81	83.962
559.42	83.962
560.02	83.963
560.63	83.963
561.23	83.963
561.84	83.963
562.44	83.963
563.05	83.964
563.66	83.964
564.26	83.964
564.87	83.964
565.48	83.965
566.09	83.965
566.70	83.965
567.31	83.965
567.91	83.965
568.52	83.966
569.13	83.966
569.74	83.966
570.35	83.966
570.96	83.966
571.57	83.967
572.19	83.967
572.80	83.967
573.41	83.967
574.02	83.968
574.63	83.968
575.25	83.968
575.86	83.968
576.47	83.968
577.09	83.969
577.70	83.969
578.31	83.969
578.93	83.969
579.54	83.970
580.16	83.970
580.77	83.970
