t(c)	alpha(grad)
17.460	1.029
17.470	1.029
17.480	1.029
17.490	1.028
17.500	1.028
17.510	1.028
17.520	1.028
17.530	1.027
17.540	1.027
17.550	1.027
17.560	1.027
17.570	1.027
17.580	1.026
17.590	1.026
17.600	1.026
17.610	1.026
17.620	1.026
17.630	1.025
17.640	1.025
17.650	1.025
17.660	1.025
17.670	1.024
17.680	1.024
17.690	1.024
17.700	1.024
17.710	1.024
17.720	1.023
17.730	1.023
17.740	1.023
17.750	1.023
17.760	1.023
17.770	1.022
17.780	1.022
17.790	1.022
17.800	1.022
17.810	1.021
17.820	1.021
17.830	1.021
17.840	1.021
17.850	1.021
17.860	1.020
17.870	1.020
17.880	1.020
17.890	1.020
17.900	1.020
17.910	1.019
17.920	1.019
17.930	1.019
17.940	1.019
17.950	1.018
17.960	1.018
17.970	1.018
17.980	1.018
17.990	1.018
18.000	1.017
18.010	1.017
18.020	1.017
18.030	1.017
18.040	1.017
18.050	1.016
18.060	1.016
18.070	1.016
18.080	1.016
18.090	1.015
18.100	1.015
18.110	1.015
18.120	1.015
18.130	1.015
18.140	1.014
18.150	1.014
18.160	1.014
18.170	1.014
18.180	1.013
18.190	1.013
18.200	1.013
18.210	1.013
18.220	1.013
18.230	1.012
18.240	1.012
18.250	1.012
18.260	1.012
18.270	1.012
18.280	1.011
18.290	1.011
18.300	1.011
18.310	1.011
18.320	1.010
18.330	1.010
18.340	1.010
18.350	1.010
18.360	1.010
18.370	1.009
18.380	1.009
18.390	1.009
18.400	1.009
18.410	1.009
18.420	1.008
18.430	1.008
18.440	1.008
18.450	1.008
18.460	1.007
18.470	1.007
18.480	1.007
18.490	1.007
18.500	1.007
18.510	1.006
18.520	1.006
18.530	1.006
18.540	1.006
18.550	1.006
18.560	1.005
18.570	1.005
18.580	1.005
18.590	1.005
18.600	1.004
18.610	1.004
18.620	1.004
18.630	1.004
18.640	1.004
18.650	1.003
18.660	1.003
18.670	1.003
18.680	1.003
18.690	1.003
18.700	1.002
18.710	1.002
18.720	1.002
18.730	1.002
18.740	1.001
18.750	1.001
18.760	1.001
18.770	1.001
18.780	1.001
18.790	1.000
18.800	1.000
18.810	1.000
18.820	1.000
18.830	1.000
18.840	0.999
18.850	0.999
18.860	0.999
18.870	0.999
18.880	0.998
18.890	0.998
18.900	0.998
18.910	0.998
18.920	0.998
18.930	0.997
18.940	0.997
18.950	0.997
18.960	0.997
18.970	0.997
18.980	0.996
18.990	0.996
19.000	0.996
19.010	0.996
19.020	0.995
19.030	0.995
19.040	0.995
19.050	0.995
19.060	0.995
19.070	0.994
19.080	0.994
19.090	0.994
19.100	0.994
19.110	0.994
19.120	0.993
19.130	0.993
19.140	0.993
19.150	0.993
19.160	0.993
19.170	0.992
19.180	0.992
19.190	0.992
19.200	0.992
19.210	0.991
19.220	0.991
19.230	0.991
19.240	0.991
19.250	0.991
19.260	0.990
19.270	0.990
19.280	0.990
19.290	0.990
19.300	0.990
19.310	0.989
19.320	0.989
19.330	0.989
19.340	0.989
19.350	0.988
19.360	0.988
19.370	0.988
19.380	0.988
19.390	0.988
19.400	0.987
19.410	0.987
19.420	0.987
19.430	0.987
19.440	0.987
19.450	0.986
19.460	0.986
19.470	0.986
19.480	0.986
19.490	0.985
19.500	0.985
19.510	0.985
19.520	0.985
19.530	0.985
19.540	0.984
19.550	0.984
19.560	0.984
19.570	0.984
19.580	0.984
19.590	0.983
19.600	0.983
19.610	0.983
19.620	0.983
19.630	0.982
19.640	0.982
19.650	0.982
19.660	0.982
19.670	0.982
19.680	0.981
19.690	0.981
19.700	0.981
19.710	0.981
19.720	0.981
19.730	0.980
19.740	0.980
19.750	0.980
19.760	0.980
19.770	0.980
19.780	0.979
19.790	0.979
19.800	0.979
19.810	0.979
19.820	0.978
19.830	0.978
19.840	0.978
19.850	0.978
19.860	0.978
19.870	0.977
19.880	0.977
19.890	0.977
19.900	0.977
19.910	0.977
19.920	0.976
19.930	0.976
19.940	0.976
19.950	0.976
19.960	0.975
19.970	0.975
19.980	0.975
19.990	0.975
20.000	0.975
20.010	0.974
20.020	0.974
20.030	0.974
20.040	0.974
20.050	0.974
20.060	0.973
20.070	0.973
20.080	0.973
20.090	0.973
20.100	0.973
20.110	0.972
20.120	0.972
20.130	0.972
20.140	0.972
20.150	0.971
20.160	0.971
20.170	0.971
20.180	0.971
20.190	0.971
20.200	0.970
20.210	0.970
20.220	0.970
20.230	0.970
20.240	0.970
20.250	0.969
20.260	0.969
20.270	0.969
20.280	0.969
20.290	0.969
20.300	0.968
20.310	0.968
20.320	0.968
20.330	0.968
20.340	0.967
20.350	0.967
20.360	0.967
20.370	0.967
20.380	0.967
20.390	0.966
20.400	0.966
20.410	0.966
20.420	0.966
20.430	0.966
20.440	0.965
20.450	0.965
20.460	0.965
20.470	0.965
20.480	0.965
20.490	0.964
20.500	0.964
20.510	0.964
20.520	0.964
20.530	0.963
20.540	0.963
20.550	0.963
20.560	0.963
20.570	0.963
20.580	0.962
20.590	0.962
20.600	0.962
20.610	0.962
20.620	0.962
20.630	0.961
20.640	0.961
20.650	0.961
20.660	0.961
20.670	0.961
20.680	0.960
20.690	0.960
20.700	0.960
20.710	0.960
20.720	0.959
20.730	0.959
20.740	0.959
20.750	0.959
20.760	0.959
20.770	0.958
20.780	0.958
20.790	0.958
20.800	0.958
20.810	0.958
20.820	0.957
20.830	0.957
20.840	0.957
20.850	0.957
20.860	0.957
20.870	0.956
20.880	0.956
20.890	0.956
20.900	0.956
20.910	0.955
20.920	0.955
20.930	0.955
20.940	0.955
20.950	0.955
20.960	0.954
20.970	0.954
20.980	0.954
20.990	0.954
21.000	0.954
21.010	0.953
21.020	0.953
21.030	0.953
21.040	0.953
21.050	0.953
21.060	0.952
21.070	0.952
21.080	0.952
21.090	0.952
21.100	0.952
21.110	0.951
21.120	0.951
21.130	0.951
21.140	0.951
21.150	0.950
21.160	0.950
21.170	0.950
21.180	0.950
21.190	0.950
21.200	0.949
21.210	0.949
21.220	0.949
21.230	0.949
21.240	0.949
21.250	0.948
21.260	0.948
21.270	0.948
21.280	0.948
21.290	0.948
21.300	0.947
21.310	0.947
21.320	0.947
21.330	0.947
21.340	0.947
21.350	0.946
21.360	0.946
21.370	0.946
21.380	0.946
21.390	0.945
21.400	0.945
21.410	0.945
21.420	0.945
21.430	0.945
21.440	0.944
21.450	0.944
21.460	0.944
21.470	0.944
21.480	0.944
21.490	0.943
21.500	0.943
21.510	0.943
21.520	0.943
21.530	0.943
21.540	0.942
21.550	0.942
21.560	0.942
21.570	0.942
21.580	0.942
21.590	0.941
21.600	0.941
21.610	0.941
21.620	0.941
21.630	0.941
21.640	0.940
21.650	0.940
21.660	0.940
21.670	0.940
21.680	0.939
21.690	0.939
21.700	0.939
21.710	0.939
21.720	0.939
21.730	0.938
21.740	0.938
21.750	0.938
21.760	0.938
21.770	0.938
21.780	0.937
21.790	0.937
21.800	0.937
21.810	0.937
21.820	0.937
21.830	0.936
21.840	0.936
21.850	0.936
21.860	0.936
21.870	0.936
21.880	0.935
21.890	0.935
21.900	0.935
21.910	0.935
21.920	0.935
21.930	0.934
21.940	0.934
21.950	0.934
21.960	0.934
21.970	0.933
21.980	0.933
21.990	0.933
22.000	0.933
22.010	0.933
22.020	0.932
22.030	0.932
22.040	0.932
22.050	0.932
22.060	0.932
22.070	0.931
22.080	0.931
22.090	0.931
22.100	0.931
22.110	0.931
22.120	0.930
22.130	0.930
22.140	0.930
22.150	0.930
22.160	0.930
22.170	0.929
22.180	0.929
22.190	0.929
22.200	0.929
22.210	0.929
22.220	0.928
22.230	0.928
22.240	0.928
22.250	0.928
22.260	0.928
22.270	0.927
22.280	0.927
22.290	0.927
22.300	0.927
22.310	0.926
22.320	0.926
22.330	0.926
22.340	0.926
22.350	0.926
22.360	0.925
22.370	0.925
22.380	0.925
22.390	0.925
22.400	0.925
22.410	0.924
22.420	0.924
22.430	0.924
22.440	0.924
22.450	0.924
22.460	0.923
22.470	0.923
22.480	0.923
22.490	0.923
22.500	0.923
22.510	0.922
22.520	0.922
22.530	0.922
22.540	0.922
22.550	0.922
22.560	0.921
22.570	0.921
22.580	0.921
22.590	0.921
22.600	0.921
22.610	0.920
22.620	0.920
22.630	0.920
22.640	0.920
22.650	0.920
22.660	0.919
22.670	0.919
22.680	0.919
22.690	0.919
22.700	0.919
22.710	0.918
22.720	0.918
22.730	0.918
22.740	0.918
22.750	0.918
22.760	0.917
22.770	0.917
22.780	0.917
22.790	0.917
22.800	0.917
22.810	0.916
22.820	0.916
22.830	0.916
22.840	0.916
22.850	0.915
22.860	0.915
22.870	0.915
22.880	0.915
22.890	0.915
22.900	0.914
22.910	0.914
22.920	0.914
22.930	0.914
22.940	0.914
22.950	0.913
22.960	0.913
22.970	0.913
22.980	0.913
22.990	0.913
23.000	0.912
23.010	0.912
23.020	0.912
23.030	0.912
23.040	0.912
23.050	0.911
23.060	0.911
23.070	0.911
23.080	0.911
23.090	0.911
23.100	0.910
23.110	0.910
23.120	0.910
23.130	0.910
23.140	0.910
23.150	0.909
23.160	0.909
23.170	0.909
23.180	0.909
23.190	0.909
23.200	0.908
23.210	0.908
23.220	0.908
23.230	0.908
23.240	0.908
23.250	0.907
23.260	0.907
23.270	0.907
23.280	0.907
23.290	0.907
23.300	0.906
23.310	0.906
23.320	0.906
23.330	0.906
23.340	0.906
23.350	0.905
23.360	0.905
23.370	0.905
23.380	0.905
23.390	0.905
23.400	0.904
23.410	0.904
23.420	0.904
23.430	0.904
23.440	0.904
23.450	0.903
23.460	0.903
23.470	0.903
23.480	0.903
23.490	0.903
23.500	0.902
23.510	0.902
23.520	0.902
23.530	0.902
23.540	0.902
23.550	0.901
23.560	0.901
23.570	0.901
23.580	0.901
23.590	0.901
23.600	0.900
23.610	0.900
23.620	0.900
23.630	0.900
23.640	0.900
23.650	0.899
23.660	0.899
23.670	0.899
23.680	0.899
23.690	0.899
23.700	0.898
23.710	0.898
23.720	0.898
23.730	0.898
23.740	0.898
23.750	0.897
23.760	0.897
23.770	0.897
23.780	0.897
23.790	0.897
23.800	0.896
23.810	0.896
23.820	0.896
23.830	0.896
23.840	0.896
23.850	0.895
23.860	0.895
23.870	0.895
23.880	0.895
23.890	0.895
23.900	0.894
23.910	0.894
23.920	0.894
23.930	0.894
23.940	0.894
23.950	0.893
23.960	0.893
23.970	0.893
23.980	0.893
23.990	0.893
24.000	0.892
24.010	0.892
24.020	0.892
24.030	0.892
24.040	0.892
24.050	0.891
24.060	0.891
24.070	0.891
24.080	0.891
24.090	0.891
24.100	0.890
24.110	0.890
24.120	0.890
24.130	0.890
24.140	0.890
24.150	0.889
24.160	0.889
24.170	0.889
24.180	0.889
24.190	0.889
24.200	0.888
24.210	0.888
24.220	0.888
24.230	0.888
24.240	0.888
24.250	0.887
24.260	0.887
24.270	0.887
24.280	0.887
24.290	0.887
24.300	0.886
24.310	0.886
24.320	0.886
24.330	0.886
24.340	0.886
24.350	0.885
24.360	0.885
24.370	0.885
24.380	0.885
24.390	0.885
24.400	0.885
24.410	0.884
24.420	0.884
24.430	0.884
24.440	0.884
24.450	0.884
24.460	0.883
24.470	0.883
24.480	0.883
24.490	0.883
24.500	0.883
24.510	0.882
24.520	0.882
24.530	0.882
24.540	0.882
24.550	0.882
24.560	0.881
24.570	0.881
24.580	0.881
24.590	0.881
24.600	0.881
24.610	0.880
24.620	0.880
24.630	0.880
24.640	0.880
24.650	0.880
24.660	0.879
24.670	0.879
24.680	0.879
24.690	0.879
24.700	0.879
24.710	0.878
24.720	0.878
24.730	0.878
24.740	0.878
24.750	0.878
24.760	0.877
24.770	0.877
24.780	0.877
24.790	0.877
24.800	0.877
24.810	0.876
24.820	0.876
24.830	0.876
24.840	0.876
24.850	0.876
24.860	0.876
24.870	0.875
24.880	0.875
24.890	0.875
24.900	0.875
24.910	0.875
24.920	0.874
24.930	0.874
24.940	0.874
24.950	0.874
24.960	0.874
24.970	0.873
24.980	0.873
24.990	0.873
25.000	0.873
25.010	0.873
25.020	0.872
25.030	0.872
25.040	0.872
25.050	0.872
25.060	0.872
25.070	0.871
25.080	0.871
25.090	0.871
25.100	0.871
25.110	0.871
25.120	0.870
25.130	0.870
25.140	0.870
25.150	0.870
25.160	0.870
25.170	0.870
25.180	0.869
25.190	0.869
25.200	0.869
25.210	0.869
25.220	0.869
25.230	0.868
25.240	0.868
25.250	0.868
25.260	0.868
25.270	0.868
25.280	0.867
25.290	0.867
25.300	0.867
25.310	0.867
25.320	0.867
25.330	0.866
25.340	0.866
25.350	0.866
25.360	0.866
25.370	0.866
25.380	0.865
25.390	0.865
25.400	0.865
25.410	0.865
25.420	0.865
25.430	0.865
25.440	0.864
25.450	0.864
25.460	0.864
25.470	0.864
25.480	0.864
25.490	0.863
25.500	0.863
25.510	0.863
25.520	0.863
25.530	0.863
25.540	0.862
25.550	0.862
25.560	0.862
25.570	0.862
25.580	0.862
25.590	0.861
25.600	0.861
25.610	0.861
25.620	0.861
25.630	0.861
25.640	0.860
25.650	0.860
25.660	0.860
25.670	0.860
25.680	0.860
25.690	0.860
25.700	0.859
25.710	0.859
25.720	0.859
25.730	0.859
25.740	0.859
25.750	0.858
25.760	0.858
25.770	0.858
25.780	0.858
25.790	0.858
25.800	0.857
25.810	0.857
25.820	0.857
25.830	0.857
25.840	0.857
25.850	0.857
25.860	0.856
25.870	0.856
25.880	0.856
25.890	0.856
25.900	0.856
25.910	0.855
25.920	0.855
25.930	0.855
25.940	0.855
25.950	0.855
25.960	0.854
25.970	0.854
25.980	0.854
25.990	0.854
26.000	0.854
26.010	0.854
26.020	0.853
26.030	0.853
26.040	0.853
26.050	0.853
26.060	0.853
26.070	0.852
26.080	0.852
26.090	0.852
26.100	0.852
26.110	0.852
26.120	0.851
26.130	0.851
26.140	0.851
26.150	0.851
26.160	0.851
26.170	0.851
26.180	0.850
26.190	0.850
26.200	0.850
26.210	0.850
26.220	0.850
26.230	0.849
26.240	0.849
26.250	0.849
26.260	0.849
26.270	0.849
26.280	0.848
26.290	0.848
26.300	0.848
26.310	0.848
26.320	0.848
26.330	0.848
26.340	0.847
26.350	0.847
26.360	0.847
26.370	0.847
26.380	0.847
26.390	0.846
26.400	0.846
26.410	0.846
26.420	0.846
26.430	0.846
26.440	0.846
26.450	0.845
26.460	0.845
26.470	0.845
26.480	0.845
26.490	0.845
26.500	0.844
26.510	0.844
26.520	0.844
26.530	0.844
26.540	0.844
26.550	0.844
26.560	0.843
26.570	0.843
26.580	0.843
26.590	0.843
26.600	0.843
26.610	0.842
26.620	0.842
26.630	0.842
26.640	0.842
26.650	0.842
26.660	0.841
26.670	0.841
26.680	0.841
26.690	0.841
26.700	0.841
26.710	0.841
26.720	0.840
26.730	0.840
26.740	0.840
26.750	0.840
26.760	0.840
26.770	0.839
26.780	0.839
26.790	0.839
26.800	0.839
26.810	0.839
26.820	0.839
26.830	0.838
26.840	0.838
26.850	0.838
26.860	0.838
26.870	0.838
26.880	0.837
26.890	0.837
26.900	0.837
26.910	0.837
26.920	0.837
26.930	0.837
26.940	0.836
26.950	0.836
26.960	0.836
26.970	0.836
26.980	0.836
26.990	0.835
27.000	0.835
27.010	0.835
27.020	0.835
27.030	0.835
27.040	0.835
27.050	0.834
27.060	0.834
27.070	0.834
27.080	0.834
27.090	0.834
27.100	0.834
27.110	0.833
27.120	0.833
27.130	0.833
27.140	0.833
27.150	0.833
27.160	0.832
27.170	0.832
27.180	0.832
27.190	0.832
27.200	0.832
27.210	0.832
27.220	0.831
27.230	0.831
27.240	0.831
27.250	0.831
27.260	0.831
27.270	0.830
27.280	0.830
27.290	0.830
27.300	0.830
27.310	0.830
27.320	0.830
27.330	0.829
27.340	0.829
27.350	0.829
27.360	0.829
27.370	0.829
27.380	0.828
27.390	0.828
27.400	0.828
27.410	0.828
27.420	0.828
27.430	0.828
27.440	0.827
27.450	0.827
27.460	0.827
27.470	0.827
27.480	0.827
27.490	0.827
27.500	0.826
27.510	0.826
27.520	0.826
27.530	0.826
27.540	0.826
27.550	0.825
27.560	0.825
27.570	0.825
27.580	0.825
27.590	0.825
27.600	0.825
27.610	0.824
27.620	0.824
27.630	0.824
27.640	0.824
27.650	0.824
27.660	0.824
27.670	0.823
27.680	0.823
27.690	0.823
27.700	0.823
27.710	0.823
27.720	0.822
27.730	0.822
27.740	0.822
27.750	0.822
27.760	0.822
27.770	0.822
27.780	0.821
27.790	0.821
27.800	0.821
27.810	0.821
27.820	0.821
27.830	0.821
27.840	0.820
27.850	0.820
27.860	0.820
27.870	0.820
27.880	0.820
27.890	0.819
27.900	0.819
27.910	0.819
27.920	0.819
27.930	0.819
27.940	0.819
27.950	0.818
27.960	0.818
27.970	0.818
27.980	0.818
27.990	0.818
28.000	0.818
28.010	0.817
28.020	0.817
28.030	0.817
28.040	0.817
28.050	0.817
28.060	0.817
28.070	0.816
28.080	0.816
28.090	0.816
28.100	0.816
28.110	0.816
28.120	0.815
28.130	0.815
28.140	0.815
28.150	0.815
28.160	0.815
28.170	0.815
28.180	0.814
28.190	0.814
28.200	0.814
28.210	0.814
28.220	0.814
28.230	0.814
28.240	0.813
28.250	0.813
28.260	0.813
28.270	0.813
28.280	0.813
28.290	0.813
28.300	0.812
28.310	0.812
28.320	0.812
28.330	0.812
28.340	0.812
28.350	0.811
28.360	0.811
28.370	0.811
28.380	0.811
28.390	0.811
28.400	0.811
28.410	0.810
28.420	0.810
28.430	0.810
28.440	0.810
28.450	0.810
28.460	0.810
28.470	0.809
28.480	0.809
28.490	0.809
28.500	0.809
28.510	0.809
28.520	0.809
28.530	0.808
28.540	0.808
28.550	0.808
28.560	0.808
28.570	0.808
28.580	0.808
28.590	0.807
28.600	0.807
28.610	0.807
28.620	0.807
28.630	0.807
28.640	0.806
28.650	0.806
28.660	0.806
28.670	0.806
28.680	0.806
28.690	0.806
28.700	0.805
28.710	0.805
28.720	0.805
28.730	0.805
28.740	0.805
28.750	0.805
28.760	0.804
28.770	0.804
28.780	0.804
28.790	0.804
28.800	0.804
28.810	0.804
28.820	0.803
28.830	0.803
28.840	0.803
28.850	0.803
28.860	0.803
28.870	0.803
28.880	0.802
28.890	0.802
28.900	0.802
28.910	0.802
28.920	0.802
28.930	0.802
28.940	0.801
28.950	0.801
28.960	0.801
28.970	0.801
28.980	0.801
28.990	0.801
29.000	0.800
29.010	0.800
29.020	0.800
29.030	0.800
29.040	0.800
29.050	0.800
29.060	0.799
29.070	0.799
29.080	0.799
29.090	0.799
29.100	0.799
29.110	0.799
29.120	0.798
29.130	0.798
29.140	0.798
29.150	0.798
29.160	0.798
29.170	0.798
29.180	0.797
29.190	0.797
29.200	0.797
29.210	0.797
29.220	0.797
29.230	0.797
29.240	0.796
29.250	0.796
29.260	0.796
29.270	0.796
29.280	0.796
29.290	0.795
29.300	0.795
29.310	0.795
29.320	0.795
29.330	0.795
29.340	0.795
29.350	0.794
29.360	0.794
29.370	0.794
29.380	0.794
29.390	0.794
29.400	0.794
29.410	0.793
29.420	0.793
29.430	0.793
29.440	0.793
29.450	0.793
29.460	0.793
29.470	0.792
29.480	0.792
29.490	0.792
29.500	0.792
29.510	0.792
29.520	0.792
29.530	0.791
29.540	0.791
29.550	0.791
29.560	0.791
29.570	0.791
29.580	0.791
29.590	0.791
29.600	0.790
29.610	0.790
29.620	0.790
29.630	0.790
29.640	0.790
29.650	0.790
29.660	0.789
29.670	0.789
29.680	0.789
29.690	0.789
29.700	0.789
29.710	0.789
29.720	0.788
29.730	0.788
29.740	0.788
29.750	0.788
29.760	0.788
29.770	0.788
29.780	0.787
29.790	0.787
29.800	0.787
29.810	0.787
29.820	0.787
29.830	0.787
29.840	0.786
29.850	0.786
29.860	0.786
29.870	0.786
29.880	0.786
29.890	0.786
29.900	0.785
29.910	0.785
29.920	0.785
29.930	0.785
29.940	0.785
29.950	0.785
29.960	0.784
29.970	0.784
29.980	0.784
29.990	0.784
30.000	0.784
