t(c)	x(m)
6.770	166.52
6.780	167.06
6.790	167.61
6.800	168.15
6.810	168.69
6.820	169.24
6.830	169.78
6.840	170.33
6.850	170.88
6.860	171.43
6.870	171.98
6.880	172.53
6.890	173.08
6.900	173.63
6.910	174.19
6.920	174.74
6.930	175.30
6.940	175.85
6.950	176.41
6.960	176.97
6.970	177.53
6.980	178.09
6.990	178.65
7.000	179.21
7.010	179.78
7.020	180.34
7.030	180.91
7.040	181.47
7.050	182.04
7.060	182.61
7.070	183.18
7.080	183.75
7.090	184.32
7.100	184.89
7.110	185.46
7.120	186.04
7.130	186.61
7.140	187.19
7.150	187.77
7.160	188.34
7.170	188.92
7.180	189.50
7.190	190.08
7.200	190.66
7.210	191.25
7.220	191.83
7.230	192.42
7.240	193.00
7.250	193.59
7.260	194.18
7.270	194.76
7.280	195.35
7.290	195.94
7.300	196.54
7.310	197.13
7.320	197.72
7.330	198.32
7.340	198.91
7.350	199.51
7.360	200.11
7.370	200.70
7.380	201.30
7.390	201.90
7.400	202.50
7.410	203.11
7.420	203.71
7.430	204.31
7.440	204.92
7.450	205.52
7.460	206.13
7.470	206.74
7.480	207.35
7.490	207.96
7.500	208.57
7.510	209.18
7.520	209.79
7.530	210.41
7.540	211.02
7.550	211.64
7.560	212.25
7.570	212.87
7.580	213.49
7.590	214.11
7.600	214.73
7.610	215.35
7.620	215.98
7.630	216.60
7.640	217.22
7.650	217.85
7.660	218.47
7.670	219.10
7.680	219.73
7.690	220.36
7.700	220.99
7.710	221.62
7.720	222.25
7.730	222.89
7.740	223.52
7.750	224.16
7.760	224.79
7.770	225.43
7.780	226.07
7.790	226.71
7.800	227.35
7.810	227.99
7.820	228.63
7.830	229.27
7.840	229.91
7.850	230.56
7.860	231.20
7.870	231.85
7.880	232.50
7.890	233.15
7.900	233.80
7.910	234.45
7.920	235.10
7.930	235.75
7.940	236.40
7.950	237.06
7.960	237.71
7.970	238.37
7.980	239.03
7.990	239.69
8.000	240.34
8.010	241.00
8.020	241.67
8.030	242.33
8.040	242.99
8.050	243.65
8.060	244.32
8.070	244.99
8.080	245.65
8.090	246.32
8.100	246.99
8.110	247.66
8.120	248.33
8.130	249.00
8.140	249.67
8.150	250.35
8.160	251.02
8.170	251.70
8.180	252.37
8.190	253.05
8.200	253.73
8.210	254.41
8.220	255.09
8.230	255.77
8.240	256.45
8.250	257.13
8.260	257.82
8.270	258.50
8.280	259.19
8.290	259.88
8.300	260.56
8.310	261.25
8.320	261.94
8.330	262.63
8.340	263.33
8.350	264.02
8.360	264.71
8.370	265.41
8.380	266.10
8.390	266.80
8.400	267.50
8.410	268.19
8.420	268.89
8.430	269.59
8.440	270.29
8.450	271.00
8.460	271.70
8.470	272.40
8.480	273.11
8.490	273.81
8.500	274.52
8.510	275.23
8.520	275.94
8.530	276.65
8.540	277.36
8.550	278.07
8.560	278.78
8.570	279.50
8.580	280.21
8.590	280.93
8.600	281.64
8.610	282.36
8.620	283.08
8.630	283.80
8.640	284.52
8.650	285.24
8.660	285.96
8.670	286.68
8.680	287.41
8.690	288.13
8.700	288.86
8.710	289.59
8.720	290.31
8.730	291.04
8.740	291.77
8.750	292.50
8.760	293.23
8.770	293.97
8.780	294.70
8.790	295.43
8.800	296.17
8.810	296.91
8.820	297.64
8.830	298.38
8.840	299.12
8.850	299.86
8.860	300.60
8.870	301.34
8.880	302.09
8.890	302.83
8.900	303.57
8.910	304.32
8.920	305.07
8.930	305.81
8.940	306.56
8.950	307.31
8.960	308.06
8.970	308.81
8.980	309.56
8.990	310.32
9.000	311.07
9.010	311.83
9.020	312.58
9.030	313.34
9.040	314.10
9.050	314.86
9.060	315.62
9.070	316.38
9.080	317.14
9.090	317.90
9.100	318.66
9.110	319.43
9.120	320.19
9.130	320.96
9.140	321.73
9.150	322.50
9.160	323.26
9.170	324.03
9.180	324.80
9.190	325.58
9.200	326.35
9.210	327.12
9.220	327.90
9.230	328.67
9.240	329.45
9.250	330.23
9.260	331.01
9.270	331.78
9.280	332.57
9.290	333.35
9.300	334.13
9.310	334.91
9.320	335.70
9.330	336.48
9.340	337.27
9.350	338.05
9.360	338.84
9.370	339.63
9.380	340.42
9.390	341.21
9.400	342.00
9.410	342.79
9.420	343.59
9.430	344.38
9.440	345.18
9.450	345.97
9.460	346.77
9.470	347.57
9.480	348.37
9.490	349.17
9.500	349.97
9.510	350.77
9.520	351.57
9.530	352.37
9.540	353.18
9.550	353.98
9.560	354.79
9.570	355.60
9.580	356.41
9.590	357.21
9.600	358.02
