x(m)	y(m)
622.87	2809.29
623.95	2813.54
625.02	2817.79
626.10	2822.05
627.18	2826.31
628.26	2830.57
629.34	2834.84
630.43	2839.11
631.51	2843.38
632.60	2847.65
633.68	2851.93
634.77	2856.21
635.85	2860.49
636.94	2864.78
638.03	2869.07
639.12	2873.36
640.21	2877.65
641.31	2881.95
642.40	2886.25
643.49	2890.55
644.59	2894.86
645.69	2899.17
646.78	2903.48
647.88	2907.79
648.98	2912.11
650.08	2916.43
651.18	2920.75
652.28	2925.08
653.39	2929.40
654.49	2933.74
655.60	2938.07
656.70	2942.41
657.81	2946.74
658.92	2951.09
660.02	2955.43
661.13	2959.78
662.24	2964.13
663.36	2968.48
664.47	2972.84
665.58	2977.20
666.70	2981.56
667.81	2985.92
668.93	2990.29
670.05	2994.66
671.17	2999.03
672.29	3003.41
673.41	3007.79
674.53	3012.17
675.65	3016.55
676.77	3020.94
677.90	3025.33
679.02	3029.72
680.15	3034.12
681.28	3038.52
682.40	3042.92
683.53	3047.32
684.66	3051.73
685.79	3056.14
686.93	3060.55
688.06	3064.97
689.19	3069.38
690.33	3073.81
691.46	3078.23
692.60	3082.66
693.74	3087.08
694.88	3091.52
696.02	3095.95
697.16	3100.39
698.30	3104.83
699.44	3109.27
700.59	3113.72
701.73	3118.17
702.88	3122.62
704.02	3127.07
705.17	3131.53
706.32	3135.99
707.47	3140.45
708.62	3144.92
709.77	3149.38
710.92	3153.86
712.08	3158.33
713.23	3162.81
714.39	3167.29
715.54	3171.77
716.70	3176.25
717.86	3180.74
719.02	3185.23
720.18	3189.72
721.34	3194.22
722.50	3198.72
723.66	3203.22
724.83	3207.73
725.99	3212.23
727.16	3216.74
728.33	3221.26
729.49	3225.77
730.66	3230.29
731.83	3234.81
733.00	3239.34
734.18	3243.86
735.35	3248.39
736.52	3252.93
737.70	3257.46
738.87	3262.00
740.05	3266.54
741.23	3271.08
742.41	3275.63
743.59	3280.18
744.77	3284.73
745.95	3289.29
747.13	3293.84
748.32	3298.40
749.50	3302.97
750.69	3307.53
751.87	3312.10
753.06	3316.67
754.25	3321.25
755.44	3325.82
756.63	3330.40
757.82	3334.99
759.01	3339.57
760.21	3344.16
761.40	3348.75
762.60	3353.35
763.79	3357.94
764.99	3362.54
766.19	3367.14
767.39	3371.75
768.59	3376.36
769.79	3380.97
770.99	3385.58
772.19	3390.20
773.40	3394.82
774.60	3399.44
775.81	3404.06
777.02	3408.69
